"type";"minutos";"segudos";"miliegundos";"tempo";"threads";"entrada"
"real";0;37;138;"37.138";0;"16k-c"
"real";0;37;67;"37.67";0;"16k-c"
"real";0;37;111;"37.111";0;"16k-c"
"real";0;37;125;"37.125";0;"16k-c"
"real";0;37;74;"37.74";0;"16k-c"
"real";0;37;166;"37.166";0;"16k-c"
"real";0;37;178;"37.178";0;"16k-c"
"real";0;37;76;"37.76";0;"16k-c"
"real";0;37;59;"37.59";0;"16k-c"
"real";0;37;91;"37.91";0;"16k-c"
"real";0;37;70;"37.70";0;"16k-c"
"real";0;37;343;"37.343";0;"16k-c"
"real";0;37;297;"37.297";0;"16k-c"
"sys";0;0;25;"0.25";0;"4k-a"
"sys";0;0;16;"0.16";0;"4k-a"
"sys";0;0;20;"0.20";0;"4k-a"
"sys";0;0;20;"0.20";0;"4k-a"
"sys";0;0;16;"0.16";0;"4k-a"
"sys";0;0;36;"0.36";0;"4k-a"
"sys";0;0;16;"0.16";0;"4k-a"
"sys";0;0;20;"0.20";0;"4k-a"
"sys";0;0;24;"0.24";0;"4k-a"
"sys";0;0;16;"0.16";0;"4k-a"
"sys";0;0;24;"0.24";0;"4k-a"
"sys";0;0;16;"0.16";0;"4k-a"
"sys";0;0;20;"0.20";0;"4k-a"
"sys";0;0;24;"0.24";0;"4k-a"
"sys";0;0;24;"0.24";0;"4k-a"
"sys";0;0;28;"0.28";0;"4k-a"
"sys";0;0;24;"0.24";0;"4k-a"
"sys";0;0;20;"0.20";0;"4k-a"
"sys";0;0;20;"0.20";0;"4k-a"
"sys";0;0;24;"0.24";0;"4k-a"
"sys";0;0;21;"0.21";0;"4k-b"
"sys";0;0;28;"0.28";0;"4k-b"
"sys";0;0;24;"0.24";0;"4k-b"
"sys";0;0;20;"0.20";0;"4k-b"
"sys";0;0;20;"0.20";0;"4k-b"
"sys";0;0;28;"0.28";0;"4k-b"
"sys";0;0;20;"0.20";0;"4k-b"
"sys";0;0;24;"0.24";0;"4k-b"
"sys";0;0;20;"0.20";0;"4k-b"
"sys";0;0;20;"0.20";0;"4k-b"
"sys";0;0;20;"0.20";0;"4k-b"
"sys";0;0;16;"0.16";0;"4k-b"
"sys";0;0;20;"0.20";0;"4k-b"
